kernel,gamma,nu,trainOA,valOA
RBF,1/15,0.01,0.9898348157560356,0.9974747474747475
RBF,1/15,0.5,0.5005083884087442,
RBF,1/15,0.1,0.9003811944091487,
RBF,1/15,0.05,0.9501905972045743,0.9646464646464646
LINEAR,1/15,0.01,0.9900864260294865,0.9924242424242424
SIGMOID,1/15,0.01,0.9900889453621347,0.9924242424242424
SIGMOID,1/15,0.05,0.9501905972045743,0.9621212121212122
